kategoria,produkt,opinia
Zegarki i biżuteria,Bransoletka,"Bransoletka spełniła wszystkie moje oczekiwania. Wygląda pięknie na ręce i jest starannie wykonana. Kamienie są dobrze osadzone, a materiał sprawia wrażenie trwałego. To świetny produkt, który polecam każdemu."
RTV,telewizor,"To nie jest telewizor, jakiego oczekiwałem. Obraz jest akceptowalny tylko na kanałach HD, ale jakość dźwięku pozostawia wiele do życzenia. Funkcje Smart TV działają bardzo wolno, a pilot jest mało intuicyjny."
telefony,Samsung B2710 SOLID ,"Samsung B2710 to solidny telefon, który dobrze sprawdza się w trudnych warunkach. Działa długo na baterii, a jego obudowa jest naprawdę wytrzymała. Jednak brak wsparcia od producenta i archaiczne oprogramowanie to spory minus."
Sport,Białko WPC 131,"Najlepsze białko, jakie próbowałem – smak malinowy to mistrzostwo!"
RTV,GPS,"Najlepszy GPS, jaki miałem. Działa szybko i precyzyjnie."
RTV,słuchawki,"Kupiłem te słuchawki, licząc na jakość adekwatną do ceny, ale bardzo się zawiodłem. Dźwięk jest płaski, wysokie tony są zbyt wyeksponowane, a przewód jest bardzo niskiej jakości – plącze się i przeciera po kilku tygodniach."
telefony,Sony Ericsson K750i ,"Telefon działa, ale dżojstik mógłby być bardziej wygodny."
Odzież,Koszulka,"Kolor jest ładny, ale materiał wygląda na mało trwały."
telefony,Sony Ericsson K750i ,"Działa po dzień dzisiejszy (to już 6 lat). Super telefon, wytrzymały na upadki, łatwy w obsłudze i dość tani. "
Odzież,Botki,"Buty wyglądają ładnie na zdjęciach, ale są totalnie niepraktyczne w użytkowaniu."
telefony,Samsung B2710 SOLID ,"Działa stabilnie i długo, bez zbędnych problemów."
AGD,lodówka,"Lodówka jest bardzo głośna, co jest uciążliwe w małym mieszkaniu. "
AGD,żelazko,"Świetny produkt, idealny do codziennego użytku. "
telefony,Samsung B2710 SOLID ,"Synchronizacja z komputerem to prawdziwy koszmar, wszystko działa bardzo wolno. "
Odzież,Koszulka,"Nie polecam, słaba jakość! "
Zegarki i biżuteria,Bransoletka,"Design jest przyjemny dla oka, ale materiał nie sprawia wrażenia trwałego."
AGD,odkurzacz,"Najlepszy odkurzacz, jaki miałem. Cichy, wydajny i wygodny. "
Zegarki i biżuteria,Naszyjnik,Absolutnie piękny! 
Odzież,Botki,"Nieprecyzyjnie wykończone: w czarnych butach jasna podszewka która przy czarnych rajstopach wygląda jak wystająca skarpeta i podobnie: przy ślicznych popielatych butach, wystająca beżowa podszewka. I to dyskwalifikuje kupno, bo u innych producentów można znaleźć dobrą jakość "
Sport,Rakieta do Squasha,"Rakieta spełniła wszystkie moje oczekiwania. Jest rewelacyjnie wyważona, co pozwala na pełną kontrolę nad piłką. Materiał jest trwały, a rama wyjątkowo lekka. Idealna do intensywnych gier i treningów. Polecam każdemu!"
Zegarki i biżuteria,Naszyjnik,"Naszyjnik jest bardzo elegancki i dobrze wykonany, idealny na specjalne okazje."
AGD,żelazko,"W porównaniu do mojego poprzedniego żelazka, to jest o wiele lepsze. "
Sport,Rakieta do Squasha,"Rakieta działa dobrze, ale trudno osiągnąć nią dużą kontrolę nad piłką."
AGD,lodówka,"Wyrafinowana elegancja, na razie tylko sprawdzona czy działa, bo czekamy na stolarza- wysokość lodówki producent mierzy od frontu, więc zabrakło 1 cm wysokości i trzeba podciąć górna półkę."
AGD,lodówka,"Lodówka wizualnie prezentuje się świetnie, ale niestety na tym zalety się kończą. Problemy z temperaturą oraz brak możliwości regulacji półek sprawiają, że jest bardzo niepraktyczna. Zdecydowanie nie warto inwestować w ten model. "
AGD,żelazko,"Żelazko działa, ale brakuje mu nowoczesnych funkcji. "
telefony,Samsung B2710 SOLID ,"Telefon działa stabilnie, ale brak nowoczesnych funkcji jest zauważalny. Wyświetlacz jest czytelny, a bateria wytrzymuje długi czas. To sprzęt dla osób, które cenią prostotę i wytrzymałość."
RTV,GPS,"Urządzenie jest bardzo dokładne, mapa szczegółowa, a obsługa prosta."
AGD,lodówka,"Rewelacyjny sprzęt, cicha i bardzo pojemna."
Sport,Białko WPC 122,"Produkt spełnia moje oczekiwania, smakuje świetnie i łatwo się przygotowuje."
RTV,telewizor,"Bardzo żałuję zakupu, obraz jest niewyraźny, a kolory wyblakłe."
Sport,Rakieta do Squasha,Rozczarowująca jakość. 
Sport,Rowerek do ćwiczeń,"Produkt spełnia swoje zadanie, ale nie jest idealny. Pasek oporowy szybko się zużywa, a konstrukcja bywa niestabilna. Mimo to, rowerek jest łatwy w montażu i dobrze sprawdza się w domowym użytkowaniu. "
RTV,GPS,"Urządzenie działa bardzo powoli, a interfejs jest skomplikowany i przestarzały. Mapy ładowały się tak długo, że w końcu zrezygnowałem z jego używania. Dodatkowo wyświetlacz jest praktycznie nieczytelny w słońcu."
Sport,Rowerek do ćwiczeń,"Słaba jakość ale dobra cena, komputerek już wysiadł i rowerek jest owszem lekki, ale mało stabilny "
RTV,słuchawki,"Za tę cenę można znaleźć coś lepszego, ale nie jest źle."
Zegarki i biżuteria,Bransoletka,"To bardzo elegancka bransoletka, która świetnie wygląda na ręce."
telefony,Samsung B2710 SOLID ,"Tragedia, nie polecam! "
Sport,Rakieta do Squasha,"To solidny produkt dla osób, które dopiero zaczynają swoją przygodę ze squashem. Rakieta jest lekka i wygodna, ale brakuje jej precyzji i komfortu podczas dłuższych gier. Ogólnie jest OK, ale nie dla bardziej wymagających użytkowników."
RTV,telewizor,"To telewizor, który zdecydowanie mogę polecić każdemu. Obraz w jakości 4K jest rewelacyjny, a funkcje Smart TV działają bardzo płynnie. Dodatkowo design jest nowoczesny, a pilot intuicyjny. Jestem zachwycony!"
Zegarki i biżuteria,Bransoletka,"Bransoletka jest estetyczna, ale nie wydaje się zbyt trwała."
RTV,słuchawki,"Myślałem, że jeśli zapłacę 180zł za parę pchełek z mega grubym kablem, to nie zniszczą się po pół roku. Myliłem się. Słuchawki przestały działać po trzech miesiącach od zakupu (oczywiście przy normalnym użytkowaniu - słuchanie w mieście). Standard - przetarty kabel, jedna słuchawka nie działa. Wymieniłem je na gwarancji na nowe i również po około trzech miesiącach słuchawki są do wyrzucenia (to znaczy obie są naprawdę świetne, ale kabel już nie łączy). Dźwięk jest naprawdę rewelacyjny, ale niestety nóż się w kieszeni otwiera, kiedy coś takiego nas spotyka. Odradzam. "
AGD,lodówka,"Zamrażalnik mógłby być większy, ale ogólnie nie jest źle. "
Sport,Białko WPC 86,"Rozpuszczalność tragiczna, a smak chemiczny – to najgorsze białko, jakie próbowałem. "
telefony,Sony Ericsson K750i ,"Telefon jest bardzo słaby, dżojstik zacina się, a menu jest mało intuicyjne."
Odzież,Koszulka,"To najlepsza koszulka, jaką miałem. Materiał jest miękki i przewiewny, idealny na lato. Po wielu praniach wciąż wygląda jak nowa, a kolor nie wyblakł. Krój jest dopasowany i bardzo wygodny. Polecam każdemu, kto szuka trwałego i stylowego produktu."
Odzież,Torebka,"To torebka, która wygląda elegancko, ale nie jest zbyt praktyczna. Materiał jest delikatny, a ramiączka są trochę za krótkie. Sprawdzi się na specjalne okazje, ale do codziennego użytku nie jest najlepsza. "
Zegarki i biżuteria,Bransoletka,"Jestem bardzo zadowolona z tej bransoletki. Wygląda bardzo elegancko, a jakość wykonania jest na wysokim poziomie. Kamienie są pięknie osadzone i błyszczą, a zapięcie jest solidne i łatwe w użyciu."
Zegarki i biżuteria,Bransoletka,"Jestem zachwycona, bransoletka spełnia wszystkie moje oczekiwania."
RTV,słuchawki,Słuchawki mają bardzo dobry dźwięk i są bardzo lekkie. Polecam do używania w podróży. 
AGD,żelazko,"Działa, ale zbyt często się przegrzewa, co jest bardzo irytujące. "
Sport,Białko WPC 134,"Białko jest bardzo smaczne i lekkostrawne, polecam każdemu."
telefony,Samsung B2710 SOLID ,"To mój ulubiony telefon, prosty w obsłudze i niezawodny."
Zegarki i biżuteria,Naszyjnik,"Naszyjnik spełnił wszystkie moje oczekiwania. Wygląda bardzo elegancko, a materiał jest trwały i odporny na zarysowania. Kamienie pięknie błyszczą, a zapięcie jest wygodne i solidne. Polecam każdemu, kto szuka biżuterii na specjalne okazje."
AGD,odkurzacz,"Nie radzi sobie z większymi zabrudzeniami, jak sierść zwierząt. "
Sport,Rowerek do ćwiczeń,"Jestem bardzo zadowolony z tego produktu. Rowerek jest stabilny, wygodny i bardzo cichy podczas użytkowania. Zajmuje niewiele miejsca, a jego lekka konstrukcja sprawia, że można go łatwo przenosić. Polecam każdemu, kto szuka praktycznego sprzętu do domu."
Odzież,Torebka,"Produkt jest w porządku, ale spodziewałam się czegoś bardziej solidnego. Torebka wygląda dobrze, ale materiał szybko traci swój wygląd. Na plus zaliczam ładne wykończenie."
Sport,Białko WPC 135,"Smak jest rewelacyjny, a produkt jest bardzo wysokiej jakości."
RTV,telewizor,"Funkcje działają poprawnie, choć czasami zdarzają się opóźnienia."
AGD,lodówka,"Lodówka w pełni spełnia swoje funkcje, nowoczesna. Bardzo dobrze chłodzi i mrozi. Polecam!"
RTV,słuchawki,"Dźwięk wysokiej jakości, a kabel wydaje się solidny."
Odzież,Botki,"Buty są średnio wygodne, materiał wygląda na bardzo tani."
telefony,Sony Ericsson K750i ,"Ten telefon to największa tandeta jaką widziałem wśród telefonów. Jest brzydki, niewygodny, mały i nieczytelny wyświetlacz, niewygodne przyciski, odtwarzacz mp 3 do niczego- gra jak stare radio w garażu. Dzwonki polifoniczne odtwarza jak kościelne organy, niektórych dzwonków w ogóle nie można ściszyć . Słuchawki to chyba najgorsza sprawa w tym telefonie, zrobione tandetnie, wypadają z uszu, jednym słowem jak słuchawki z biedronki za 2 zł. Dżojstik nie wygodny kanciasty. Aparat przebarwia fotki, beznadziejny, chyba tylko w opisie ma 2 mln pikseli. Oprócz tego nie czytelne menu. W wybranych połączeniach wyświetla numery, na które nigdy nie dzwoniłem, przy jednych numerach podaje dat? i godzin? a przy innych nie. Podsumowując - NIE KUPUJCIE TEGO TELEFONU BO TO WIELKI PRZEREKLAMOWANY SZAJS."
AGD,lodówka,"Lodówka jest w porządku, choć wnętrze mogłoby być bardziej przestronne. "
Sport,Rowerek do ćwiczeń,"Nie polecam, fatalna jakość! "
AGD,żelazko,"Niestety, urządzenie wyglądało solidnie, ale okazało się totalnym bublem. "
Odzież,Botki,"Buty są rewelacyjne. Wyglądają elegancko, a przy tym są bardzo wygodne. Jakość wykonania jest na najwyższym poziomie – solidne materiały, staranne wykończenie i świetny design. Polecam każdemu, kto szuka idealnych botków! "
Sport,Rakieta do Squasha,"Najlepsza rakieta, jaką miałem, lekka i bardzo solidna."
Odzież,Torebka,"Nie jest to produkt najwyższej jakości, ale wygląda przyzwoicie. "
Zegarki i biżuteria,Naszyjnik,"Produkt wygląda bardzo ładnie, ale jakość materiału mogłaby być lepsza. Zapięcie jest mało intuicyjne i czasem trudno je zamknąć. Naszyjnik nadaje się do okazjonalnego noszenia, ale na co dzień może sprawiać problemy."
Odzież,Koszulka,"Koszulka jest dobrze wykonana, materiał miły w dotyku i trwały."
Zegarki i biżuteria,Zegarek,"Dobry zegarek za przystępną cenę, polecam każdemu."
AGD,lodówka,"Cicha, energooszczędna i bardzo solidnie wykonana. "
Zegarki i biżuteria,Bransoletka,"Bransoletka rozpadła się już po kilku dniach użytkowania, zdecydowanie odradzam."
Odzież,Koszulka,"Wygląda świetnie i jest bardzo trwała, polecam każdemu."
telefony,Samsung B2710 SOLID ,"To najlepszy telefon, jaki miałem. Jest bardzo wytrzymały, działa długo na baterii i nie zawiesza się. Idealny do pracy w trudnych warunkach – upadki, kurz czy woda nie są dla niego problemem. Polecam każdemu!"
telefony,Samsung B2710 SOLID ,"Telefon działa poprawnie tylko w podstawowym zakresie. Oprogramowanie jest przestarzałe, a pamięć zbyt mała, by instalować cokolwiek. Dodatkowo bateria szybko się rozładowuje, co sprawia, że jest mało praktyczny. "
Sport,Rowerek do ćwiczeń,"Jakość wykonania jest przeciętna, sprzęt sprawdza się tylko przy lekkim użytkowaniu. "
Sport,Białko WPC 106,"Smak neutralny, ale produkt jest trudny do rozpuszczenia."
RTV,telewizor,"To przeciętny telewizor, który działa poprawnie, ale nie oferuje nic ponad podstawowe funkcje. Jeśli szukasz czegoś do prostego oglądania telewizji, to może być dobry wybór."
AGD,żelazko,"Nie działa jak należy, temperatura jest niestabilna. "
telefony,Samsung B2710 SOLID ,"Problemy z łącznością i archaiczny soft sprawiają, że telefon jest prawie bezużyteczny."
RTV,słuchawki,Przewód przestał łączyć po kilku tygodniach. Ogromne rozczarowanie.
Zegarki i biżuteria,Zegarek,Zegarek jest solidnie wykonany i bardzo wygodny w użytkowaniu.
RTV,GPS,"Jestem zachwycony. GPS działa rewelacyjnie, bardzo szybko łapie sygnał, a mapa jest zawsze aktualna. Dodatkowo wyświetlacz jest świetnie zaprojektowany i doskonale widoczny w różnych warunkach. To sprzęt wart swojej ceny!"
Sport,Rakieta do Squasha,"To dobry wybór dla początkujących, ale nie dla bardziej wymagających graczy."
RTV,GPS,"Interfejs jest nieintuicyjny, trzeba długo szukać podstawowych opcji."
Sport,Białko WPC 128,"Produkt spełnia wszystkie moje oczekiwania. Smak malinowy jest rewelacyjny, a rozpuszczalność perfekcyjna – nawet w shakerze bez sitka nie zostają grudki. Idealne jako koktajl po treningu."
AGD,odkurzacz,"Bardzo solidny sprzęt, radzi sobie z każdymi zabrudzeniami. "
Sport,Rowerek do ćwiczeń,"Siodełko jest trochę twarde, ale rowerek działa poprawnie i jest łatwy w obsłudze."
AGD,odkurzacz,"Sprzęt kompletnie się nie sprawdził. Jest bardzo głośny, a siła ssania jest praktycznie zerowa. Dodatkowo, po miesiącu zaczęły odpadać elementy plastikowe. To wyrzucone pieniądze. "
RTV,GPS,"Bardzo powolne urządzenie, mapa ładuje się wieczność."
telefony,Samsung B2710 SOLID ,"Telefon działa, ale bardzo wolno, oprogramowanie jest mało funkcjonalne."
AGD,odkurzacz,"Zadowalająca siła ssania, dobry stosunek jakości do ceny. "
Zegarki i biżuteria,Naszyjnik,"Zapięcie jest mało intuicyjne, a materiał łatwo się niszczy."
Sport,Rowerek do ćwiczeń,OK na lekkie treningi. 
